REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN ,Savelugu Nanton,2012,GROUNDNUT,2.5,
NORTHERN ,Sawla/Tuna/Kalba,2012,GROUNDNUT,1.38,
NORTHERN ,Tamale Metro,2012,GROUNDNUT,1.8,
NORTHERN ,Tolon,2012,GROUNDNUT,1.86,
NORTHERN ,Kumbungu,2012,GROUNDNUT,1.86,
NORTHERN ,West Gonja,2012,GROUNDNUT,1.78,
NORTHERN ,West Mamprusi,2012,GROUNDNUT,1.15,
NORTHERN ,Yendi,2012,GROUNDNUT,1.53,
NORTHERN ,Zabzugu,2012,GROUNDNUT,2.39,
NORTHERN ,Tatale,2012,GROUNDNUT,2.39,
NORTHERN ,Bole,2012,  COWPEA,1.46,
NORTHERN ,Bunkpurugu Yonyo,2012,  COWPEA,2,
NORTHERN ,Central Gonja,2012,  COWPEA,2.55,
NORTHERN ,East Gonja,2012,  COWPEA,2.1,
NORTHERN ,Kpandai,2012,  COWPEA,2,
NORTHERN ,East Mamprusi,2012,  COWPEA,1.9,
